Date,Actual,RandomForest,XGBoost
01-10-2020,22121,86664.83889,4569.814
01-11-2020,50131,92916.46222,43207.867
01-12-2020,51312,89457.80333,43313.484
01-01-2021,41478,99789.12861,47993.688
01-02-2021,5639,196160.6496,30005.527
01-03-2021,9819,202861.879,40405.133
01-04-2021,8341,196233.779,84361.7
01-05-2021,8125,192117.9886,78355.3
01-06-2021,7982,189841.4919,76540.94
01-07-2021,39712,191480.2374,97064.51
01-08-2021,20405,191803.0774,87558.41
01-09-2021,14295,191326.6503,66277.52
01-10-2021,16616,192301.3774,72872.75
01-11-2021,15582,192065.0407,67941.67
01-12-2021,7934,190526.3286,73296.984
01-01-2022,13534,198578.4721,86589.78
01-02-2022,11997,199734.5188,45341.195
01-03-2022,55297,202861.879,41283.977
01-04-2022,112200,196217.7224,84361.7
01-05-2022,117390,192081.0286,78355.3
01-06-2022,100343,189801.4553,76540.94
01-07-2022,128378,191288.144,97064.51
01-08-2022,153569,191627.714,87558.41
01-09-2022,186519,197494.2436,66277.52
01-10-2022,473957,208450.3374,72872.75
01-11-2022,902922,421589.1842,238916.33
01-12-2022,1343008,697551.0325,299744.84
01-01-2023,1468510,1064875.62,498460.22
01-02-2023,1448831,1441670.373,785134.7
01-03-2023,1772302,1502393.897,846531.25
01-04-2023,1891830,1547982.417,1.05E+06
01-05-2023,1849999,1583005.759,1.03E+06
01-06-2023,2036789,1615746.85,1.06E+06
01-07-2023,2275387,1624918.9,1.06E+06
01-08-2023,2117080,1736828.697,1.04E+06
01-09-2023,2135218,1917668.85,1.18E+06
01-10-2023,2453904,2176352.68,1.24E+06
01-11-2023,2389530,2254334.74,1.51E+06
01-12-2023,2690625,2375202.817,1.91E+06
01-01-2024,2648809,2442537.236,2.04E+06
01-02-2024,2749893,2489689.61,1.91E+06
01-03-2024,3014441,2524456.57,2.01E+06
01-04-2024,2952334,2563690.023,2.11E+06
01-05-2024,2971249,2554902.067,2.14E+06
01-06-2024,3091791,2615171.06,2.18E+06
01-07-2024,3238181,2666084.283,2.22E+06
01-08-2024,2883408,2545500.743,2.08E+06
01-09-2024,2810445,2464172.093,1.85E+06
01-10-2024,3228398,2606218.844,2.11E+06
01-11-2024,3122370,2595256.265,2.12E+06
01-12-2024,3436527,2744839.81,2.34E+06
