Date,Predicted_Visitors
2025-01-01,2770296.596138456
2025-02-01,2825296.1598670264
2025-03-01,2830104.3080638507
2025-04-01,2843481.243308295
2025-05-01,2850120.129413057
2025-06-01,2847859.5324432165
2025-07-01,2846560.6963241682
2025-08-01,2752668.0790368663
2025-09-01,2703025.5719702
2025-10-01,2740849.0781662315
2025-11-01,2748898.3163162316
2025-12-01,2750244.65521147
2026-01-01,2813745.5818122644
2026-02-01,2821735.009644804
2026-03-01,2828822.3280638508
2026-04-01,2845238.960451152
2026-05-01,2850597.572555915
2026-06-01,2848336.975586073
2026-07-01,2846083.2531813113
2026-08-01,2752668.0790368663
2026-09-01,2690814.509424962
2026-10-01,2735143.4854257554
2026-11-01,2748411.542316232
2026-12-01,2749757.8812114703
